ASSETID,PERIOD,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE
A1911036458955879610,201806,330000,100,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,1920,5,12,2,0,0,1,531191756016724,345311615106741,869939013334714,-372200819889242,394731033369494
A12565232846291643976,201806,532000,132,2,2,0,1,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1933.0,6.0,1.0,1933,5,8,3,0,1,0,658848869068155,285882842939823,811591676389543,-369927785459448,394726555285109
A1632460259686884752,201806,501000,140,3,2,0,1,0,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1933.0,6.0,1.0,1933,5,8,3,0,1,0,632789052606239,257073356085167,841424731673718,-370110811428652,394724254422375
A9591627567293593757,201806,127000,74,2,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,3.0,1.0,2004,4,5,5,0,0,1,760990691705113,392460510226067,644917549727116,-370218975990489,39474490901734
A12760594755784627346,201806,270000,90,2,2,0,1,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1965.0,1.0,1.0,1965,6,17,5,0,0,1,659069140597381,590102430904401,78225718458372,-373345434473979,394751201564438
A2433178973745523053,201806,124000,59,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1964.0,2.0,,1964,6,29,4,0,1,0,827273161730734,558900786619527,587535289102817,-371348371602193,394759848863603
A2652529647466406649,201806,568000,126,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1933.0,6.0,1.0,1933,9,11,3,0,1,0,671900300419577,335056573578145,770409213564391,-370141751153009,394731468452583
A15662642747692524699,201806,552000,140,0,2,0,1,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,,6.0,1.0,1933,5,8,3,0,1,0,637221438825107,324499604837353,793787215005485,-37058545669376,394730938242052
A9314608958095418040,201806,391000,135,2,1,0,1,1,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1995.0,2.0,1.0,1995,14,56,3,0,0,1,875671253070286,117404405194189,74593696116959,-367008892789054,394723822285698
A17828058791848471713,201806,131000,71,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1900.0,,1.0,1900,2,3,6,0,0,1,825559515918717,487935821321354,574323512240565,-370688634574916,394756006007741
A16448859725903377244,201806,510000,225,6,2,0,1,0,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1945.0,3.0,1.0,1945,5,6,3,0,1,0,619697226327871,439921515404714,778308453225073,-371991365044598,3947403551426
A6220359662790687119,201806,529000,126,2,2,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1933.0,6.0,1.0,1933,5,8,3,0,0,1,617439992856686,303237164629009,816594827564132,-370697102780348,39472907165829
