ASSETID;PERIOD;PRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;AMENITYID;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;FLATLOCATIONID;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_BLASCO;LONGITUDE;LATITUDE
A11040594289306490715;201806;75000;75;3;1;1;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;NA;0;1;1965;7;11;7;0;0;1;27.103.937.360.903;0.311531443574908;0.801970602306871;-0.34552743503845;394.656.774.851.696
A10910195010407916349;201806;83000;75;2;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1950;2;1;1950;4;17;7;0;0;1;319.988.220.951.012;0.254771399570151;0.912886567995518;-0.340421381079969;394.630.292.829.924
A11551793209926663090;201806;173000;94;3;2;0;1;1;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1979;3;1;1979;6;37;5;0;0;1;246.470.635.353.984;0.27802901768628;0.563144499289921;-0.347966972351836;394.687.691.347.657
A3962139094192276501;201806;160000;100;3;2;0;1;0;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2001;2;NA;2001;8;32;4;0;0;1;347.159.420.907.267;0.206412779641567;0.765118627467683;-0.337057897583065;394.634.567.506.464
A5174762212474184581;201806;88000;73;2;1;0;1;0;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1967;5;1;1967;7;29;6;0;0;1;263.388.202.799.058;0.252832255292363;0.588555607006103;-0.346055309111825;394.679.957.837.092
A8653956039637594986;201806;179000;130;4;2;0;1;1;3;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;NA;2;1;1973;7;15;7;0;0;1;268.150.815.282.492;0.493093800602407;0.991349608923996;-0.34629703588748;394.640.824.931.167
A5560975456667006748;201806;144000;95;3;1;0;1;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1970;4;1;1970;8;39;6;0;0;1;23.006.877.468.635;0.130135860510005;0.566839238432441;-0.349854090522369;394.692.716.321.186
A5389131932796625600;201806;89000;81;1;1;0;1;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1975;7;1;1975;9;35;5;0;0;1;326.158.905.547.578;0.192214418889789;0.501289131322288;-0.338891749504792;394.665.707.414.427
A5112454542407677988;201806;93000;80;4;1;0;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;NA;1;1;1936;2;2;6;0;0;1;262.137.315.337.261;0.354360702273453;0.810268078427235;-0.346516192471956;394.659.613.197.352
A12228934232831440826;201806;115000;83;3;1;0;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1963;8;2;1963;16;64;7;0;1;0;228.175.662.857.799;0.509439863038693;0.955242504018544;-0.350580264610802;39.465.756.754.391
